"","geneID","FLM-ERR225783","iL3-ERR225784","PF-ERR299168","PF-ERR299169","PF-ERR299170","FLF-ERR299171","FLF-ERR299172","FLF-ERR299173","PF-ERR299174","PF-ERR299175","PF-ERR299176","FLF-ERR299177","FLF-ERR299178","FLF-ERR299179","WBgeneID","Location","Description","InterPro","GO_term","UniProtKB","GS1_homologID","GS1_percent_homology","GS2_homologID","GS2_percent_homology","GS3_homologID","GS3_percent_homology","GS4_homologID","GS4_percent_homology"
"1","SRAE_0000000250",0,0,0.0295953361193454,0,0.0332206285492628,0,0,0.0520791935822686,0,0,0,0,0,0,"WBGene00255739","SRAE_scaffold1","7TM GPCR, serpentine receptor class r (Str) family-containing protein","7TM_GPCR_serpentine_rcpt_Str","membrane","A0A090KTM4","SSTP_0000166700 | SSTP_0000166700",63.3431,"SPAL_0000619700",43.9883,"SVE_1102400",22.5806,"",NA
"2","SRAE_0000008800",0,0.175350007081591,0,0,0,0,0,0,0,0,0,0,0.0280901265837139,0,"WBGene00255825","SRAE_scaffold1","GPCR, rhodopsin-like, 7TM domain-containing protein","GPCR_Rhodpsn_7TM","membrane","A0A090KU60","SSTP_0000379900",42.0382,"",NA,"SVE_1077100",39.4904,"",NA
"3","SRAE_0000009200",0,0.35458267766749,0,0,0,0.136286179210975,0.0285927022870475,0,0,0,0.0331443128370883,0.091098780485948,0,0,"WBGene00255829","SRAE_scaffold1","GPCR, rhodopsin-like, 7TM domain and 7TM GPCR,olfactory receptor/chemoreceptor Srsx family-containing protein","GPCR_Rhodpsn_7TM, 7TM_GPCR_Srsx","membrane","A0A090KTW0","SSTP_0000379500",67.2269,"SPAL_0000399433",52.6611,"SVE_1077400",24.6499,"",NA
"4","SRAE_0000009300",0,0,0,0,0.0333351604667827,0.0456014250230431,0,0,0.0298480459563273,0,0,0,0,0,"WBGene00255830","SRAE_scaffold1","Serpentine receptor class gamma","7TM_GPCR_serpentine_rcpt_Srg","membrane, sensory perception of chemical stimulus, transmembrane signaling receptor activity","A0A090KU65","SSTP_0000379400 | SSTP_0000379400",78.6957,"SPAL_0000399466",69.1304,"",NA,"",NA
"5","SRAE_0000012700",0,0,0.0585625529660963,0.105348210924801,0.0685291568630247,0,0.056730140509549,0.0519796678448994,0.118578144730804,0,0,0.0429858250233286,0.0542394193667287,0.0566705066296344,"WBGene00255864","SRAE_scaffold1","Serpin domain-containing protein","Serpin_fam, Serpin_dom, Serpin_sf, Serpin_sf_1","serine-type endopeptidase inhibitor activity, negative regulation of peptidase activity, peptidase inhibitor activity, extracellular space","A0A090KTZ6","",NA,"",NA,"",NA,"",NA
"6","SRAE_0000016250",0.518376271114547,0,0,0,0,0,0,0,0,0,0,0,0,0,"WBGene00255901","SRAE_scaffold1","Serpentine receptor class gamma","7TM_GPCR_serpentine_rcpt_Srg","membrane, sensory perception of chemical stimulus, transmembrane signaling receptor activity","A0A090KYS0","SSTP_0000732800",71.0801,"SPAL_0001177825",45.993,"SVE_0755400",57.4913,"",NA
"7","SRAE_0000022000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"WBGene00255960","SRAE_scaffold1","NADH dehydrogenase subunit 4L",NA,"membrane","A0A090KUA9","",NA,"",NA,"",NA,"",NA
"8","SRAE_0000024200",0,0,0.0592189009816618,0.0502614596737846,0.0998148543452776,0.0917145854249963,0.0287598357059211,0,0,0.0503847646300321,0.033390256396526,0.0459822681185029,0.0288528984102123,0.156597114274102,"WBGene00255982","SRAE_scaffold1","7TM GPCR, serpentine receptor class v (Srv) family-containing protein","7TM_GPCR_serpentine_rcpt_Srv","membrane","A0A090KZ02","SSTP_0000211050 | SSTP_0000211050",40.6193,"SPAL_0000997200",35.5191,"SVE_0587600",34.4262,"",NA
"9","SRAE_0000025300",0.444046522053538,0,0.0304339617549741,0.0519780194468726,0.0338563873393685,0.0438770813564392,0.0882719332636507,0,0,0,0.0342868672205805,0.170299785461465,0,0.0564061888581319,"WBGene00255993","SRAE_scaffold1","",NA,NA,"A0A090MS94","SSTP_0001042950",69.1057,"SPAL_0001739750",57.7236,"SVE_1618900",61.7886,"",NA
"10","SRAE_0000028000",0,0,0.0891137174649311,0,0.0663683968342422,0.0451504359462872,0.0289524399022276,0,0.0595872332054906,0.0504676969950846,0.0332880927574447,0,0.0289749341615168,0,"WBGene00256022","SRAE_scaffold1","",NA,"membrane","A0A090KZ51","SSTP_0000209700",61.4583,"",NA,"SVE_1996000",32.8125,"",NA
"11","SRAE_0000028700",0,0,0,0.0533345112268401,0,0,0,0,0.0296988027117725,0,0.0338842157900913,0,0.0267598100699371,0,"WBGene00256029","SRAE_scaffold2","",NA,NA,"A0A090L108","",NA,"",NA,"",NA,"",NA
"12","SRAE_0000044500",0,0,0.0897696514877492,0,0.0666092182395381,0.134554583287597,0.029242654056194,0,0,0.203100408125726,0.100113793275901,0.0449584955315213,0.0292037361509417,0,"WBGene00256189","SRAE_scaffold3","Helitron helicase-like domain-containing protein","Helitron_helicase-like","helicase activity","A0A090L1H6","",NA,"",NA,"",NA,"",NA
"13","SRAE_0000045300",0,0,0.0593997324216597,0.10030998492242,0.0331262247721047,0,0.0579482713258664,0,0.208564126792675,0.0504278494795798,0.0664340794657001,0.0900309435958631,0.0869124075515131,0.0527311291734889,"WBGene00256197","SRAE_scaffold3","Transposase",NA,NA,"A0A090KZP3","",NA,"",NA,"",NA,"",NA
